CaseID;NoiseID;timestamp;user;category;application;event_type;event_src_path;event_dest_path;clipboard_content;mouse_coord;workbook;current_worksheet;worksheets;sheets;cell_content;cell_range;cell_range_number;window_size;slides;effect;hotkey;id;title;description;browser_url;eventQual;tab_moved_from_index;tab_moved_to_index;newZoomFactor;oldZoomFactor;tab_pinned;tab_audible;tab_muted;window_ingognito;file_size;tag_category;tag_type;tag_name;tag_title;tag_value;tag_checked;tag_html;tag_href;tag_innerText;tag_option;tag_attributes;xpath;xpath_full
1;;2023-02-08T16:36:00.354;tomho;Browser;Edge;clickTextField;;;;1097,-468;;;;;;;;;;;;snwiCUZYCrkoGtgS;;;https://www.sskm.de/fi/home/login-online-banking/demo-online-banking-chiptan.html?n=true;;;;;;;;;;;INPUT;text;snwiCUZYCrkoGtgS;;;;;;;;{'type': 'text', 'name': 'snwiCUZYCrkoGtgS', 'id': 'snwiCUZYCrkoGtgS', 'value': '', 'class': 'nbf-text-input', 'maxlength': '16', 'placeholder': ' ', 'parentNodeTitle': ''};"id(""snwiCUZYCrkoGtgS"")";/HTML[1]/BODY[1]/DIV[1]/SECTION[1]/DIV[1]/DIV[1]/DIV[4]/FORM[1]/DIV[7]/INPUT[1]
1;;2023-02-08T16:36:02.676;tomho;Browser;Edge;changeField;;;;;;;;;;;;;;;;snwiCUZYCrkoGtgS;;;https://www.sskm.de/fi/home/login-online-banking/demo-online-banking-chiptan.html?n=true;;;;;;;;;;;INPUT;text;snwiCUZYCrkoGtgS;;chipDEMO;;;;;;{'type': 'text', 'name': 'snwiCUZYCrkoGtgS', 'id': 'snwiCUZYCrkoGtgS', 'value': '', 'class': 'nbf-text-input', 'maxlength': '16', 'placeholder': ' '};"id(""snwiCUZYCrkoGtgS"")";/HTML[1]/BODY[1]/DIV[1]/SECTION[1]/DIV[1]/DIV[1]/DIV[4]/FORM[1]/DIV[7]/INPUT[1]
1;;2023-02-08T16:36:05.416;tomho;Browser;Edge;changeField;;;;;;;;;;;;;;;;RxBZjOTIUyCaXlRL;;;https://www.sskm.de/fi/home/login-online-banking/demo-online-banking-chiptan.html?n=true;;;;;;;;;;;INPUT;password;RxBZjOTIUyCaXlRL;;12345;;;;;;{'type': 'password', 'name': 'RxBZjOTIUyCaXlRL', 'id': 'RxBZjOTIUyCaXlRL', 'value': '', 'autocomplete': 'off', 'class': 'has-inline-icon nbf-text-input format-password-show', 'maxlength': '38', 'placeholder': ' '};"id(""RxBZjOTIUyCaXlRL"")";/HTML[1]/BODY[1]/DIV[1]/SECTION[1]/DIV[1]/DIV[1]/DIV[4]/FORM[1]/DIV[8]/INPUT[1]
1;;2023-02-08T16:36:05.524;tomho;Browser;Edge;clickButton;;;;1199,-277;;;;;;;;;;;;;;;https://www.sskm.de/fi/home/login-online-banking/demo-online-banking-chiptan.html?n=true;;;;;;;;;;;INPUT;submit;hHMDutdzcSHdNPUS;Anmelden;Anmelden;;;;;;{'type': 'submit', 'name': 'hHMDutdzcSHdNPUS', 'title': 'Anmelden', 'value': 'Anmelden', 'onclick': 'return IF.checkFirstSubmit()', 'class': '', 'parentNodeTitle': ''};/html[1]/body[1]/div[1]/section[1]/div[1]/div[1]/div[4]/form[1]/div[9]/div[1]/div[1]/input[1];/HTML[1]/BODY[1]/DIV[1]/SECTION[1]/DIV[1]/DIV[1]/DIV[4]/FORM[1]/DIV[9]/DIV[1]/DIV[1]/INPUT[1]
1;;2023-02-08T16:36:05.526;tomho;Browser;Edge;submit;;;;;;;;;;;;;;;;;;;https://www.sskm.de/fi/home/login-online-banking/demo-online-banking-chiptan.html?n=true;;;;;;;;;;;;;;;;;;;;;;/html[1]/body[1]/div[1]/section[1]/div[1]/div[1]/div[4]/form[1];/HTML[1]/BODY[1]/DIV[1]/SECTION[1]/DIV[1]/DIV[1]/DIV[4]/FORM[1]
1;;2023-02-08T16:36:06.178;tomho;Browser;Edge;formSubmit;;;;;;;;;;;;;;;;;;;https://www.sskm.de/fi/home/onlinebanking/nbf/finanzuebersicht.html?n=true&dea=true;"[""serverRedirect""]";;;;;;;;;;;;;;;;;;;;;;
1;;2023-02-08T16:36:08.292;tomho;Browser;Edge;link;;;;;;;;;;;;;;;;;;;https://www.sskm.de/fi/home/onlinebanking/nbf/umsaetze.html?sp:ct=TUFJTkBwb3J0YWw%3D;"[""serverRedirect""]";;;;;;;;;;;;;;;;;;;;;;
